Page title,URL,Brand,Car brand,Gear box,Engine,Category,Average consumption,CO2 emissions,Fiscal power,Number of doors,Price,Imglabel,XX,YY,samples_index
LLD Pro - RENAULT KOLEOS INTENS - DCI175 4X2 XTRO (23069) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/068123834ee6e9e26494739319e979a0cf02a8e2/renault-koleos-intens/,RENAULT KOLEOS INTENS,Diesel,automatique,1995.0,SUV 4x2,5.5 l/100km,146 g/km,10.0,5,555,1062,2.2993593215942383,14.682173728942871,1062
LLD Pro - FORD TRANSIT KO T31L - 2H2 AMB.ECO 130 (13414) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/80ee993da31df5592fd0bfddf256d2c1d0832878/ford-transit-ko-t31l/,FORD TRANSIT KO T31L,Diesel,manuel,1997.0,Combi,6.3 l/100km,179 g/km,8.0,4,460,2542,2.608217716217041,2.9322142601013184,2542
LLD Pro - SUZUKI VITARA S - 1.4BOOSTERJET (00444) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/b61ff6a4128600d69422fb77c26b85c758881110/suzuki-vitara-s/,SUZUKI VITARA S,Eurosuper (Sans plomb),manuel,1373.0,SUV 4x2,5.2 l/100km,121 g/km,7.0,5,258,759,26.258373260498047,-15.16457748413086,759
LLD Pro - MERCEDES E COUPE EXECUTI - 220D BA9 (12099) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/98b81eba22e62529a8d35e4bc1124b9397dfe969/mercedes-e-coupe-executi/,MERCEDES E COUPE EXECUTI,Diesel,manuel,1950.0,Coupé 3 portes,4.7 l/100km,123 g/km,10.0,2,728,1749,6.654712200164795,33.71836471557617,1749
LLD Pro - PEUGEOT 2008 GT-LINE - BLUEHDI100 BVM6 (16110) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/15c1244496c26778c0ebb962ede97e3ce2915b17/peugeot-2008-gt-line/,PEUGEOT 2008 GT-LINE,Diesel,manuel,1499.0,SUV 4x2,4 l/100km,98 g/km,5.0,5,304,1149,28.561588287353516,-32.367923736572266,1149
LLD Pro - HONDA CIVIC 5P SPORT - 1.5 IVTEC (01025) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/6b72b4aa8ae8f2f592cd374789c28ffe3e2a487d/honda-civic-5p-sport/,HONDA CIVIC 5P SPORT,Eurosuper (Sans plomb),manuel,1498.0,Berline 5 portes,5.8 l/100km,133 g/km,10.0,5,435,2571,15.185667037963867,-34.645084381103516,2571
LLD Pro - PEUGEOT 308 SW ALLURE - 1.2PURE.110 BVM (15258) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/a5bb575dc77ed1e5434f0ae3414a5b9db81e11fa/peugeot-308-sw-allure/,PEUGEOT 308 SW ALLURE,Eurosuper (Sans plomb),manuel,1199.0,Break 5 portes,4.7 l/100km,108 g/km,7.0,5,356,1166,-32.41358947753906,-7.655392169952393,1166
LLD Pro - MERCEDES B INTUITION - 180 BVA7 (12559) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/f020b1621f95904cd5bca62c5612ad1eb359f7af/mercedes-b-intuition/,MERCEDES B INTUITION,Eurosuper (Sans plomb),manuel,1595.0,Mini monospace 5 portes,6 l/100km,138 g/km,7.0,5,446,1708,-8.888016700744629,-35.1849250793457,1708
LLD Pro - VOLVO V40 MOMENTUM - T3 152 GEARTR.6 (06389) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/317e5e07cf7b29cefb1336689fc92f1037bc6580/volvo-v40-momentum/,VOLVO V40 MOMENTUM,Eurosuper (Sans plomb),manuel,1498.0,Berline 5 portes,5.7 l/100km,132 g/km,8.0,5,366,132,22.68698501586914,-34.71186065673828,132
LLD Pro - PEUGEOT 3008 ACTI.BUSIN - PURETECH130 6C (15765) | LeasePlan,https://www.leaseplan.com/fr-fr/lld-pro/nos-vehicules/8b1e2c0156c71c489db74bf786282462a4a63cf3/peugeot-3008-acti.busin/,PEUGEOT 3008 ACTI.BUSIN,Eurosuper (Sans plomb),manuel,1199.0,SUV 4x2,5.1 l/100km,118 g/km,7.0,5,331,1203,-33.99402618408203,-7.211607456207275,1203
